RDMS,Component Instance ID,DBInstance GUID,Time,Variable,Value of variable
PostgreSQL,POSTGRESQL_shared_buffers_256,8e98ef40-505d-468e-b55a-1bf23db536e0,1666.0,shared_buffers,256.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,2469.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_1024,6519d8bc-23c4-48a4-9964-5dbee39fac35,1596.0,shared_buffers,1024.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2066.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1756.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1628.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2329.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2008.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1705.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1644.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1629.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2742.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1863.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1365.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2209.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1748.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2255.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2163.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2013.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2031.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1888.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1976.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1833.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2225.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1476.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1579.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2010.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1909.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2087.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1964.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1436.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1695.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1509.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2034.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1821.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1877.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,2066.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1465.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1935.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,1661.0,shared_buffers,16384.0
PostgreSQL,POSTGRESQL_shared_buffers_4096,27e22e50-cc2c-4718-9a7d-f879f3909d17,1969.0,shared_buffers,4096.0
PostgreSQL,POSTGRESQL_shared_buffers_16384,394ac85a-cdad-4142-82d9-5d1693407ca6,2481.0,shared_buffers,16384.0
